00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 80 80 10 10 80 10 10 10 10 80 10 80 80 00 00
00 80 00 80 80 00 80 80 10 80 00 10 80 80 00 00
00 10 10 80 10 10 80 10 10 80 80 80 00 10 00 00
00 10 10 00 00 80 80 10 00 80 80 10 80 10 00 00
00 80 80 80 80 80 80 10 80 80 80 10 80 80 00 00
00 10 80 00 10 10 80 80 80 10 80 00 80 80 00 00
00 10 10 00 00 00 80 10 80 00 00 00 10 10 00 00
00 80 80 00 80 10 80 80 80 10 10 00 10 80 00 00
00 80 80 10 80 80 80 10 80 80 80 80 80 80 00 00
00 10 80 10 80 80 00 10 80 80 00 00 10 10 00 00
00 10 00 80 80 80 10 10 80 10 10 80 10 10 00 00
00 80 80 10 00 80 10 80 80 00 80 80 00 80 00 00
00 80 80 10 80 10 10 10 10 80 10 10 80 80 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
